Distance,CP20/40,CP20/50,CP20/60,CP20/80,CP20/100,CP20/120,CP20/140,CP20/160,CP20/180,CP25/40,CP25/50,CP25/60,CP25/80,CP25/100,CP25/120,CP25/140,CP25/160,CP25/180,FH5.18/60,FH5.18/90,FH5.18/120,FH5.18/150,FH5.18/180,TP25/80,TP25/100,TP25/120,TP25/140,TP25/160,TP25/180,TP20/80,TP20/100,TP20/120,TP20/140,TP20/160,TP20/180,TP15/80,TP15/100,TP15/120,TP15/140,TP15/160,TP15/180,TP17/80,TP17/100,TP17/120,TP17/140,TP17/160,TP17/180,SP6548,SP6554,SP6560,SP6648,SP6654,SP6660,RV2.25/120,RV2.25/150,RV2.25/170,RV2.25/180,RH2.21/120,RH2.21/150,RH2.21/170,RH2.21/180,FH8.20/60,FH8.20/90,FH8.20/120,FH8.20/150,FH8.20/180,FH8.23/60,FH8.23/90,FH8.23/120,FH8.23/150,FH8.23/180,FH8.21/60,FH8.21/90,FH8.21/120,FH8.21/150,FH8.21/180,,
14,75.48082006,57.67232614,47.44404219,48.02456059,40.93236558,34.87655284,32.99552275,31.75292602,30.8949537,95.03606754,76.63905628,65.62339509,65.33391455,57.48483017,50.44695348,47.97520242,46.26009263,44.33124142,611.9859716,617.4377227,622.7226983,626.5568509,619.5862949,676.8771914,694.3692841,691.1068847,694.8781213,695.4450998,697.2003743,689.9263508,707.1163515,706.9886202,713.9793112,705.3966806,728.8728247,626.0164656,639.6102595,638.8194122,644.5862767,636.6988774,658.5827835,773.4214674,780.6713326,782.2953085,783.4296038,783.9753509,784.5693535,83.59347055,81.82978213,80.61496456,56.91570138,54.80401757,53.31333832,168.1499327,145.1322613,156.3725669,148.6444054,1829.747373,1715.839993,1817.403879,1784.037301,718.8604269,732.3595314,736.8455589,738.7477776,739.3689729,755.570721,773.5747908,779.882102,782.6437588,783.7829324,743.8073233,760.1520953,765.7360504,768.1595328,769.0896992,,
15,75.12377998,57.46519821,47.30180919,47.87858142,40.82259988,34.78964551,32.91347039,31.67307088,30.81637805,94.53982958,76.31563906,65.37940654,65.08892579,57.2882646,50.2856699,47.82976485,46.12046137,44.18808177,603.2391071,607.9388485,605.2977031,617.4942689,605.4023522,673.0205553,681.4891819,687.3809525,690.1459492,691.803134,692.8562308,728.5035851,727.0408893,737.910325,738.4043051,735.1557932,731.5949677,660.7739581,657.1424523,666.5524939,666.6471209,663.3908323,658.055544,765.2767909,773.0713103,774.1163526,775.2454358,775.8320534,776.661142,84.03971196,82.28031639,81.064393,57.20506824,55.09619822,53.6032774,164.3785459,139.9709239,152.7301899,148.2545446,1870.066485,1712.887575,1857.921798,1828.112529,710.3332463,722.008683,728.3572796,729.8635781,728.5201572,747.5258653,763.6656329,771.9428884,774.2620407,773.7623977,735.5525427,750.0096756,757.5308104,759.5278777,758.961313,,
16,74.76497827,57.25776021,47.15968887,47.73326632,40.71409981,34.70391138,32.83271717,31.59485193,30.7396381,94.04626816,75.99552797,65.14035552,64.85044286,57.09722356,50.13052893,47.67689621,45.97353831,44.0380332,600.3798004,620.5552725,611.2236753,611.1275239,611.1590624,668.6859914,678.9029712,683.1295918,685.9142274,687.5837473,688.6445636,759.3958567,761.7188174,762.8658691,768.0291214,776.537531,744.5827933,688.5596079,673.0625795,688.9708663,693.4814908,700.7452021,671.3263764,755.821676,763.3740863,764.5191595,765.4997013,766.2804563,767.0404743,84.48340718,82.72432763,81.50493699,57.49818212,55.38979681,53.89031253,160.8398789,160.3671967,149.3145228,152.5190145,1901.068087,1915.790123,1889.138379,1905.057578,703.0484516,714.3970369,708.8405728,719.7313415,717.8260311,740.949143,756.6174101,752.2939599,764.5814631,762.5273668,728.7297164,742.6939491,737.8413467,749.6134214,747.4555398,,
17,74.40519127,57.05099119,47.01902971,47.59028233,40.60860907,34.6218792,32.75554879,31.52033001,30.6665351,93.54951164,75.67352708,64.89980063,64.61113333,56.90546451,49.97479769,47.52309983,45.82575993,43.89811496,591.7313098,601.3817831,597.3903908,597.4553102,597.7147781,662.9300367,669.9455782,678.3774052,681.2347186,682.8583438,683.9276873,766.7029863,767.3502036,768.3683318,772.3320527,786.3781741,740.9407425,695.1154162,675.226087,693.8875224,697.4025047,709.6440025,667.8880904,741.7565202,749.0866299,750.4106131,751.2784197,752.3287974,752.7679158,84.89480804,83.13807535,81.90673486,57.74567041,55.64114226,54.14861818,157.5452751,162.0708358,146.1342506,149.9978109,1922.497551,1951.2523,1910.795102,1942.778516,688.254466,702.8338217,680.0770305,706.48757,707.8396526,726.5027856,745.3681173,722.7896013,751.5991932,753.3156296,714.1487481,731.2623785,708.5018503,736.4620066,737.9653886,,
18,74.03860067,56.83945981,46.8742292,47.44308432,40.49939226,34.53645487,32.67525488,31.44275986,30.59057338,93.03675153,75.34172189,64.65070552,64.36257581,56.70674356,49.81266452,47.37232288,45.68112605,43.75850744,578.6401156,576.6991493,587.8366013,588.9486714,586.5466218,658.5198793,662.1752185,673.1601087,675.9222309,677.6665238,678.7408765,748.7035722,740.8838925,749.5135897,742.4951194,755.7432471,714.3338906,679.0772302,664.0020914,677.1386357,670.6281262,682.2822126,649.7631068,727.2797362,734.4504335,735.8959079,736.6320178,737.9493117,738.1482662,85.24700009,83.49134235,82.26908942,58.03224784,55.93528373,54.44937648,154.5079895,147.2038272,143.1946616,141.8640673,1934.645829,1929.347003,1923.213386,1920.178735,668.121927,688.0669184,710.3378523,691.0817392,696.1253737,706.0570242,730.6712657,756.1966363,736.2448137,742.010581,693.6800183,716.4859108,740.771929,721.0159528,726.5329492,,
19,73.66382877,56.6209385,46.72327619,47.28941754,40.38391371,34.44540448,32.589755,31.36011465,30.50956399,92.52219249,75.00643729,64.3981862,64.11006091,56.50267172,49.64535872,47.22479065,45.539882,43.62451567,566.4997043,572.0411327,578.1427852,578.672288,577.9806398,651.662141,660.287942,667.5074813,669.1196851,670.7556723,671.8466744,698.2573335,703.7641512,704.004946,704.7803568,714.368903,697.8700503,634.1230216,637.1834306,636.7717245,637.0880196,645.736651,638.1446959,712.3887246,719.3600265,720.6970774,721.5980292,722.9053687,723.0883405,85.6074634,83.85782611,82.63591622,58.32122196,56.23138212,54.7480297,151.7105033,144.4566019,140.486534,139.1673091,1939.612913,1934.538647,1928.364015,1925.41232,710.5041095,677.0783722,684.4452735,682.5083005,685.1082794,707.681186,719.7369549,729.4197324,728.1097315,731.0907995,694.3642817,705.6152641,714.2407847,713.0330912,715.5137351,,
20,73.28845074,56.40282655,46.57327869,47.13695528,40.26984603,34.35688025,32.50583206,31.2795491,30.42998721,92.00917917,74.67270215,64.14793826,63.86071372,56.30207162,49.47942462,47.07441282,45.39585819,43.48719799,558.9607611,568.6436091,568.2868698,568.1298732,574.1507584,646.7835431,656.7776619,661.4468572,664.3061658,665.9918263,667.0759579,684.4878607,691.1255058,666.0146901,696.0582558,696.7242894,697.0719236,621.710958,626.728747,602.5621878,629.2055306,629.5774053,599.2154199,695.4964802,702.1897885,703.6556795,704.7965506,705.8901506,706.0873705,85.94579576,84.21255159,82.9907945,58.58386828,56.50568355,55.02243958,149.1374464,141.9309889,137.994615,136.6866387,1938.235656,1933.212804,1927.28616,1924.418325,743.4774211,668.4470868,679.3448139,681.2386944,670.5422333,721.8209991,711.0976534,724.8872386,727.6968151,716.7522359,708.5440069,697.1803413,709.4566305,711.960414,700.9934357,,
21,72.91226716,56.18478424,46.42391329,46.98553127,40.15720582,34.26911894,32.4232281,31.20007486,30.35211309,91.49617376,74.34017307,63.8994294,63.61382122,56.10496375,49.31820122,46.91799141,45.24580883,43.34904329,549.3162582,555.2202165,557.0671051,557.3620769,558.3457418,640.323092,648.7195201,655.0323509,657.8612702,659.5739723,660.6609881,673.31516,681.6998327,669.2312013,689.7393493,698.8749452,699.3686819,611.5073772,616.3453028,605.3769909,623.3886715,631.4819228,607.8578917,676.8257411,683.591112,684.973903,686.2268451,687.0584684,687.2083497,86.25458287,84.5414724,83.32237784,58.82524989,56.75869548,55.28236683,146.7858989,139.622159,135.714462,134.4194994,1930.497922,1925.416648,1919.937478,1917.18349,674.7597786,652.8262968,663.6138548,672.6069789,658.0882802,687.1269523,697.3414381,709.0611766,719.4306901,703.8228134,674.1425491,681.4580701,693.6016641,704.4393821,687.9647612,,
22,72.52719195,55.96147313,46.2708291,46.8304424,40.04157954,34.17743175,32.33822556,31.11706457,30.271835,90.96820574,73.99565337,63.63979297,63.35500135,55.89601306,49.15200552,46.76084228,45.09505337,43.2100703,535.7735023,544.3653417,545.8371888,546.448406,545.0452939,633.5322034,645.6205038,648.2349226,651.3642089,652.8119218,653.9020549,660.9743105,666.6133211,667.0318612,671.3054977,678.5961156,678.5329351,600.1948827,604.2378845,603.2269329,606.6317446,613.2686435,607.6322816,657.7878781,664.8054269,666.0906112,667.2867446,667.9756746,668.0377122,86.5521162,84.8125118,83.59621044,59.06720403,56.99728777,55.52348853,144.6501194,136.8352669,133.6402437,132.3587859,1916.698966,1882.011802,1906.509922,1903.766562,622.7312648,634.1311631,638.8632057,640.2569085,636.9779315,658.9975967,678.8689719,683.5996881,685.8541409,682.1647504,646.2116765,662.4860069,668.3219436,671.9395256,666.4527771,,
23,72.13571403,55.73233907,46.11232282,46.66971612,39.92065055,34.08263121,32.24850785,31.03104934,30.18698346,90.43800732,73.64883318,63.37811723,63.0940777,55.6846835,48.97673184,46.60296049,44.94359357,43.07028113,526.4155731,533.0871914,534.639346,535.2600595,535.3499046,626.4371963,628.7861743,641.1594274,644.2625094,645.7295744,646.8241259,647.8702731,654.5682486,664.7925012,661.2164872,661.0927074,660.8141272,588.1555859,592.615264,601.0089071,597.3896914,596.7839525,602.6054106,638.9058603,645.9833684,647.3419263,648.5096478,649.0139969,649.0655422,86.87878352,85.13682416,83.92103089,59.31296994,57.23521133,55.77044383,142.7168031,135.3080636,131.7650287,130.4888852,1898.378584,1880.105823,1888.439468,1885.757503,601.9918348,625.7805946,627.8659595,629.3707718,630.0584547,647.8823074,670.2527045,672.7715391,675.1399138,674.6944345,634.9971231,654.3130798,657.3795317,660.858018,658.7820048,,
