Distance,CP20/40,CP20/50,CP20/60,CP20/80,CP20/100,CP20/120,CP20/140,CP20/160,CP20/180,CP25/40,CP25/50,CP25/60,CP25/80,CP25/100,CP25/120,CP25/140,CP25/160,CP25/180,FH5.18/60,FH5.18/90,FH5.18/120,FH5.18/150,FH5.18/180,TP25/80,TP25/100,TP25/120,TP25/140,TP25/160,TP25/180,TP20/80,TP20/100,TP20/120,TP20/140,TP20/160,TP20/180,TP15/80,TP15/100,TP15/120,TP15/140,TP15/160,TP15/180,TP17/80,TP17/100,TP17/120,TP17/140,TP17/160,TP17/180,SP6548,SP6554,SP6560,SP6648,SP6654,SP6660,RV2.25/120,RV2.25/150,RV2.25/170,RV2.25/180,RH2.21/120,RH2.21/150,RH2.21/170,RH2.21/180,FH8.20/60,FH8.20/90,FH8.20/120,FH8.20/150,FH8.20/180,FH8.23/60,FH8.23/90,FH8.23/120,FH8.23/150,FH8.23/180,FH8.21/60,FH8.21/90,FH8.21/120,FH8.21/150,FH8.21/180,,
320,2.641182794,3.408121871,3.858452795,4.139778963,4.373540056,4.30530351,4.188847151,4.062575668,3.94568625,3.548465693,4.677647648,5.411413314,5.719973365,6.167467368,6.260499857,6.219043598,6.086408609,5.756185018,1.458268845,1.804070034,1.964220207,2.032202073,2.066233375,6.387373442,7.203079848,7.656317106,7.971515662,8.158681512,8.315000592,3.893433285,4.326375411,4.575825827,4.709040717,4.860354182,4.927727361,3.108670704,3.439206994,3.62313995,3.71769239,3.829302326,3.876340268,1.337114658,1.575921146,1.640383187,1.686358317,1.741161229,1.758637818,9.822438008,9.770111231,9.682497825,13.47789369,13.43175045,13.32416779,6.961930899,6.784072509,6.438232984,6.283749183,2.065382086,2.183132312,2.229726466,2.24051593,1.943814946,2.282899031,2.711964815,2.840131741,2.679060688,3.669109543,4.24280066,5.263178754,5.524319043,5.216411096,2.831054157,3.248923566,4.012017414,4.203328146,3.967426893,,
321,2.608852068,3.370271729,3.819175007,4.099022417,4.334063151,4.269526233,4.155012718,4.030243903,3.914488191,3.508563419,4.629723902,5.360357388,5.667673491,6.115553044,6.212996663,6.179872187,6.048804072,5.70219169,1.436924054,1.787703426,1.93776119,2.005251897,2.039060099,6.311652196,7.051711535,7.570374123,7.881870385,8.074203677,8.22480839,3.845294277,4.287453279,4.547636917,4.614068868,4.783318032,4.849340191,3.06910125,3.407052675,3.599514301,3.640889317,3.766463234,3.813597115,1.318178535,1.554892741,1.618930699,1.664362931,1.718845072,1.735856704,9.734260525,9.683392683,9.596937134,13.3770157,13.33300188,13.22719166,6.882129854,6.709858219,6.368640785,6.215858225,2.030036834,2.146609233,2.192869681,2.203617466,1.916665607,2.214289147,2.673516554,2.803554335,2.602320577,3.624629048,4.388094462,5.197104379,5.461221843,5.074325864,2.794848255,3.357469063,3.958869496,4.152433856,3.856474376,,
322,2.578019268,3.334080273,3.781528225,4.059912535,4.296110001,4.235075328,4.122424873,3.999104086,3.884444596,3.470022833,4.583371428,5.310946274,5.61708833,6.065337041,6.167184426,6.140806831,6.011314977,5.647847511,1.4159205,1.760849275,1.911695814,1.978698549,2.012285473,6.236924726,6.999151653,7.486166404,7.796841919,7.999434462,8.135718163,3.797818308,4.23572405,4.495432819,4.66081003,4.718143853,4.780290156,3.03009022,3.36476831,3.556943956,3.674931344,3.713671072,3.759982368,1.299322151,1.534013488,1.597646084,1.642483715,1.696474986,1.713027485,9.645063378,9.595775416,9.508973286,13.27482189,13.23311154,13.12751064,6.803292823,6.636531779,6.299887901,6.148781245,1.995348878,2.110754828,2.15668115,2.16739153,1.887774833,2.346907283,2.648015986,2.767502534,2.762048665,3.575667206,4.577822339,5.149037188,5.398923483,5.396648553,2.755087512,3.499555373,3.9195695,4.102221714,4.097592348,,
323,2.547581826,3.29823256,3.74410398,4.020935864,4.258154451,4.200486099,4.089653824,3.96775856,3.854190421,3.429694283,4.534849326,5.259221147,5.56414442,6.012780441,6.117558883,6.085608658,5.958190431,5.597110983,1.395258268,1.782873496,1.894351024,1.952547159,1.99640602,6.16317793,6.918761594,7.403100492,7.710542652,7.912248327,8.04772216,3.752377698,4.174672651,4.426205471,4.896751581,4.673390309,4.733455856,2.992774769,3.31521402,3.501135781,3.860771824,3.677660402,3.719940057,1.280348341,1.512323784,1.576016113,1.620537655,1.673964586,1.689234058,9.557380661,9.509409443,9.422916079,13.17419995,13.13448244,13.02974682,6.725416591,6.564081195,6.231965757,6.082515781,1.961314081,2.075563827,2.121160969,2.131827842,1.862265457,2.374876501,2.640825212,2.731997814,2.82528707,3.538145121,4.591540437,5.144448904,5.337451513,5.529760556,2.72519019,3.507455979,3.909705839,4.052725354,4.195776611,,
324,2.517332839,3.26258044,3.706868314,3.982171464,4.220402061,4.166095281,4.057083794,3.936608743,3.824134952,3.38980965,4.48680682,5.207958073,5.511669199,5.960668987,6.068046233,6.030181756,5.904851081,5.56873934,1.374938056,1.72441781,1.85602285,1.930787174,1.959525556,6.095216292,6.843262995,7.329493329,7.633561324,7.834626904,7.967072888,3.704174733,4.120552247,4.368612161,4.733886504,4.624616616,4.685755521,2.95317869,3.270963981,3.454256986,3.731792339,3.637857564,3.680340581,1.260991795,1.490794114,1.553857201,1.597819488,1.650920924,1.666841877,9.470848005,9.424222349,9.338213606,13.07462559,13.03687713,12.93313285,6.648492065,6.492498045,6.164860742,6.017051836,1.927921452,2.041028451,2.086300915,2.0969196,1.846235312,2.346251939,2.628221296,2.697034703,2.834785386,3.517214338,4.572612273,5.129270759,5.276806654,5.556178116,2.709803884,3.490649894,3.894191536,4.003943044,4.217134768,,
325,2.48814034,3.228105806,3.670821758,3.944630169,4.183799476,4.132716196,4.025449953,3.906349192,3.794916414,3.35041831,4.439303065,5.157232812,5.459735304,5.909070738,6.019602245,5.975242659,5.851984897,5.540994454,1.354942126,1.692059436,1.827469324,1.909188798,1.931182084,6.018567987,6.752472666,7.23722012,7.541896256,7.741076167,7.874944036,3.657075597,4.068057725,4.378023288,4.627001171,4.591945652,4.661070065,2.914503563,3.228060144,3.460396989,3.647008153,3.610826898,3.65940039,1.241806475,1.469385808,1.531759224,1.575231187,1.62806263,1.644556633,9.383014343,9.337993405,9.253677648,12.97355093,12.93801133,12.83628275,6.572506701,6.421763884,6.098572757,5.952374373,1.895161877,2.007140308,2.05209133,2.062657392,1.823683048,2.315237456,2.588488068,2.662600145,2.79327561,3.475227331,4.519193189,5.058609574,5.216964675,5.482586636,2.676342521,3.447584177,3.838162896,3.955851416,4.155678256,,
326,2.458031899,3.19252727,3.633596978,3.905852511,4.14598486,4.098228981,3.99277874,3.87510542,3.764767441,3.313984493,4.395251115,5.110093747,5.411441186,5.861000527,5.973767481,5.920792105,5.799594696,5.513867066,1.335263305,1.658402419,1.814325924,1.87179739,1.893339627,5.947826899,6.761618063,7.156634327,7.459259995,7.655860253,7.790307712,3.612686498,4.020708858,4.315266891,4.465677145,4.577216367,4.663092364,2.87808205,3.189404735,3.409604741,3.517629677,3.598390223,3.660366379,1.223838181,1.449258918,1.510982234,1.55417719,1.606558904,1.623749281,9.299763764,9.255944329,9.171688271,12.87695012,12.84330546,12.74207555,6.497435132,6.3518638,6.033046101,5.888474084,1.863011178,1.973869262,2.018490888,2.029023544,1.793473787,2.280125493,2.562754504,2.62876905,2.725194146,3.417940053,4.426330092,5.010911426,5.158073023,5.356567999,2.628306916,3.374397169,3.80266362,3.908561692,4.056384683,,
327,2.428562845,3.157705578,3.597187995,3.867982398,4.109097536,4.064667618,3.961032423,3.844778433,3.735528517,3.27628903,4.349602626,5.061164026,5.361232241,5.81091252,5.926897556,5.867090228,5.747918223,5.487353824,1.3159034,1.648889093,1.793006728,1.851775257,1.884261826,5.858982779,6.612601014,7.0769244,7.344666273,7.597416853,7.67211835,3.570319327,3.976601185,4.227425474,4.382743481,4.562410137,4.62379976,2.843325858,3.153407141,3.339083047,3.451670057,3.585752884,3.625331383,1.206461361,1.429600799,1.490952538,1.533558399,1.585756369,1.602990046,9.217077016,9.174522321,9.09131521,12.780947,12.74923481,12.6496279,6.423272514,6.282795411,5.968307569,5.825339215,1.831459382,1.941205028,1.985502414,1.995998734,1.63955283,2.247372375,2.46588868,2.595224634,2.618038279,3.131014504,4.319019023,4.820280505,5.099558044,5.152886885,2.401126882,3.290461156,3.661537183,3.861618707,3.899021984,,
328,2.400501465,3.124439401,3.562297554,3.831624732,4.07358005,4.032247187,3.930323825,3.815415477,3.707204508,3.238902927,4.304311422,5.012621494,5.311461315,5.761282887,5.880542576,5.813952739,5.696785334,5.46145331,1.296853512,1.619662965,1.760964362,1.82750478,1.859777259,5.816278739,6.56281198,6.997091719,7.303060543,7.499319621,7.630007737,3.535784834,3.94645516,4.186709962,4.370264036,4.841855866,4.991668677,2.814770957,3.12838459,3.305790808,3.438328018,3.803851298,3.915601177,1.189859507,1.410808182,1.471509525,1.513894803,1.566203598,1.582806086,9.135137275,9.09400941,9.011939979,12.68565228,12.65601345,12.55809419,6.350014165,6.214550066,5.904349423,5.762968597,1.800495394,1.909141519,1.953117278,1.963573641,1.653529845,2.218503074,2.418344227,2.562263978,2.545728873,3.16763869,4.222105881,4.725408422,5.041970363,5.016751489,2.42208328,3.214821178,3.593538261,3.815447107,3.793716074,,
329,2.372422572,3.091083982,3.527247359,3.795049452,4.03776578,3.999460297,3.899215503,3.785633566,3.678436859,3.201886851,4.259440916,4.964527574,5.262181559,5.712163254,5.834142685,5.761293281,5.646115268,5.434092399,1.278112765,1.599080847,1.739417779,1.803597175,1.835657077,5.740513952,6.488113827,6.920383487,7.216905111,7.411874976,7.54184566,3.49011025,3.897121432,4.136370016,4.330047558,4.583741298,4.691120025,2.77738829,3.088201806,3.264931028,3.404860451,3.599253594,3.674730562,1.173508905,1.391972865,1.452381531,1.494575165,1.546724313,1.562411226,9.053527882,9.014003347,8.932953532,12.59066845,12.56325739,12.46689019,6.277645331,6.147116667,5.841160658,5.701346433,1.770110912,1.877669633,1.921327836,1.931739941,1.669826625,2.194338796,2.3896856,2.528038424,2.516254972,3.208528142,4.177523281,4.672120918,4.981653773,4.964244752,2.448032444,3.179427293,3.553641293,3.769844223,3.751947766,,
330,2.344160769,3.057519785,3.492009134,3.758328411,4.00185359,3.966647444,3.868114587,3.755877211,3.649713222,3.165649942,4.215359842,4.917098583,5.213447992,5.663422056,5.788116865,5.709105096,5.595905097,5.399829884,1.259675392,1.577181204,1.716817708,1.780043632,1.811892985,5.673247071,6.394665938,6.843615283,7.1381352,7.129807033,7.461082638,3.437958378,3.832884438,4.079314142,4.247367835,4.380806745,4.437499189,2.734888535,3.036257387,3.218811241,3.340520588,3.438903646,3.475024927,1.155666725,1.37223576,1.432113716,1.473734484,1.52539332,1.540911439,8.972452002,8.93456012,8.85506508,12.49605165,12.47091807,12.37677154,6.206152732,6.080484568,5.778726055,5.640454261,1.740301552,1.846785236,1.890126959,1.900493604,1.68579354,2.176510741,2.38677428,2.526166389,2.559485426,3.240436813,4.24248722,4.681435444,4.985248149,5.054684058,2.475963663,3.227776353,3.552127829,3.724821718,3.818464942,,
331,2.316557737,3.024684671,3.457488986,3.722335262,3.966612539,3.934418078,3.83756211,3.726647389,3.621497346,3.129828176,4.171705775,4.870050452,5.165055744,5.614945794,5.743170656,5.657387116,5.546153965,5.365150891,1.241531874,1.556834012,1.694069275,1.756837539,1.788475116,5.606856009,6.32197248,6.767800317,7.060473841,7.27938646,7.381297656,3.398586032,3.789429045,4.031949081,4.167540078,4.22660838,4.287092094,2.702565993,3.000741132,3.180283014,3.277807441,3.316690148,3.363993119,1.138162213,1.352913709,1.41221167,1.453279388,1.504465216,1.520301023,8.89092062,8.854399795,8.776690959,12.40071171,12.37760315,12.28605519,6.135527057,6.014635997,5.717022054,5.580294841,1.711043101,1.816458235,1.859483859,1.86979738,1.670408143,2.155139421,2.359805497,2.478067095,2.548573338,3.204520586,4.189546475,4.644802651,4.897052166,5.039896274,2.453507426,3.184414738,3.514570168,3.693085446,3.80508347,,
332,2.289418781,2.992336282,3.423409279,3.686755637,3.931713567,3.902438167,3.807221685,3.69761412,3.593466744,3.094848635,4.129090664,4.824165002,5.117932617,5.56779842,5.698588007,5.606138522,5.496857408,5.330514552,1.223677188,1.518378448,1.671655411,1.733970438,1.765399599,5.541324393,6.260667491,6.699299075,6.983438308,7.206961321,7.30247504,3.369928753,3.76689288,3.997131793,4.157202558,4.210067268,4.319050475,2.678773172,2.981831765,3.151743682,3.266924571,3.302289709,3.408600904,1.122099049,1.33466366,1.393433954,1.43445636,1.485127639,1.500968052,8.808987867,8.773626832,8.697767939,12.30491623,12.28358169,12.19457238,6.065755642,5.949563638,5.656057121,5.52085898,1.682319236,1.786675564,1.829388336,1.839644547,1.633829167,2.110285844,2.325956309,2.436456145,2.496337895,3.141075827,4.116341898,4.585874732,4.821492037,4.947180634,2.401031926,3.125825603,3.466690847,3.638322911,3.731300912,,
333,2.262212606,2.959839269,3.389109543,3.650908603,3.896496365,3.870122147,3.776553492,3.66826693,3.565131672,3.058792261,4.085125592,4.776804261,5.069306931,5.519138395,5.651968994,5.556438662,5.449030992,5.295923468,1.206109337,1.508109364,1.648665428,1.711439685,1.737842678,5.476642601,6.148317656,6.632461266,6.907562263,7.045133039,7.224606278,3.341128641,3.751835698,4.002977105,4.134634491,4.270959593,4.392770078,2.654914326,2.968938352,3.155390766,3.24130671,3.34920361,3.444731348,1.106768281,1.317243976,1.375665429,1.416522857,1.466680007,1.482423148,8.726455221,8.692089025,8.620041519,12.20845668,12.18868378,12.10425532,5.996830855,5.885264677,5.595815214,5.462130385,1.654125336,1.757434325,1.799832864,1.810037659,1.608019485,2.093468278,2.297754194,2.410919637,2.471292774,3.089401409,4.083614596,4.538414582,4.777862873,4.906248994,2.367332592,3.098608611,3.427433262,3.599321844,3.69734678,,
334,2.235800687,2.928291033,3.355854111,3.616231086,3.862501343,3.839034324,3.74710917,3.640131941,3.537992797,3.023650163,4.042207558,4.730521214,5.021770003,5.471526462,5.606543212,5.507216622,5.401672706,5.2613726,1.188820445,1.488963913,1.628277178,1.68908373,1.712611083,5.412796957,6.110460169,6.545525936,6.832401498,7.020104934,7.147678204,3.251547,3.61271729,3.871668111,3.991252459,4.062956169,4.143354249,2.582800203,2.857882705,3.050814053,3.126150524,3.18513173,3.242201177,1.091274064,1.299655751,1.357632121,1.398184843,1.447998695,1.463384101,8.653250227,8.620667308,8.548588012,12.12194898,12.10466291,12.02067335,5.92873783,5.821726776,5.53628439,5.404087746,1.626452397,1.728725188,1.770810426,1.780968189,1.620392159,2.08495515,2.279247154,2.388773441,2.494874573,3.101778238,4.08803315,4.506458153,4.740782171,4.959856852,2.388525545,3.09984239,3.402602797,3.568576245,3.73547812,,
335,2.209604337,2.896989872,3.32285376,3.581833204,3.828783043,3.808207509,3.717921366,3.612241307,3.511097523,2.990283776,4.001382748,4.686423889,4.976453908,5.426080527,5.564139496,5.458425632,5.354735275,5.226868237,1.17180693,1.475595064,1.607197046,1.668710111,1.701608155,5.349775773,6.023249614,6.473788388,6.758496803,6.945534264,7.071671197,3.210799179,3.561595227,3.785512903,3.945126875,4.022390574,4.089958838,2.549453059,2.816391966,2.98175518,3.097555332,3.151940641,3.197444328,1.075520858,1.281928,1.339258196,1.37951708,1.428977042,1.443963752,8.576925023,8.546073958,8.47420206,12.03192235,12.01701929,11.93339916,5.863321068,5.758920482,5.481457212,5.346722238,1.59977721,1.700536878,1.743529624,1.754974094,1.591027883,2.07756523,2.259757795,2.362091033,2.471279278,3.039039662,4.068700112,4.471721153,4.694372141,4.920581274,2.347069718,3.083207572,3.3759614,3.53394732,3.702838828,,
336,2.18355978,2.86583129,3.289960874,3.547520375,3.795101129,3.777375885,3.688708749,3.584319904,3.484170324,2.956929206,3.960501976,4.642186893,4.930930291,5.380332225,5.521044586,5.410061367,5.308212137,5.192409402,1.151780574,1.447614357,1.57390583,1.64656947,1.678037304,5.288898017,5.920422728,6.403657926,6.684522227,6.843143341,6.998333069,3.194570247,3.561401349,3.765638366,3.941521886,4.127339498,4.175650996,2.535609605,2.81522453,2.965026269,3.096716084,3.232926227,3.264767336,1.059574683,1.264184646,1.320759925,1.360667913,1.409672132,1.42443766,8.496541457,8.466955349,8.395873049,11.93721917,11.92412476,11.84181478,5.9679981,5.69687684,5.743683807,5.290074973,1.617881997,1.672874062,1.813272295,1.873817145,1.563524482,2.025210065,2.231079115,2.327615199,2.407976192,2.99235288,3.974859688,4.42039481,4.632096252,4.800890837,2.307040219,3.01021823,3.335319035,3.489584394,3.610423728,,
337,2.158087448,2.835228515,3.257507064,3.513554305,3.761602695,3.746542267,3.659428997,3.556292755,3.457116043,2.923176989,3.919117174,4.597397944,4.884854426,5.334028428,5.477812765,5.365865594,5.265620747,5.157994766,1.141353849,1.441758394,1.571555145,1.628338256,1.654984223,5.226436827,5.905308468,6.333195644,6.563914079,6.824983512,6.923571401,3.163243353,3.540042525,3.759415404,3.912248016,4.245865651,4.300255293,2.509840845,2.797409217,2.95917796,3.072612043,3.324481468,3.363918031,1.044563427,1.247051551,1.303384814,1.342820228,1.391505531,1.406337403,8.417583254,8.389296862,8.318261148,11.84396388,11.83275609,11.75095796,5.814879048,5.635565235,5.52220285,5.234101975,1.568795282,1.64569884,1.735629187,1.770337798,1.534499171,1.966680954,2.191943994,2.286628053,2.344433327,2.955590249,3.87499423,4.350651109,4.556527774,4.6797991,2.264641016,2.932744249,3.278887224,3.435783441,3.51739339,,
338,2.132869883,2.804926589,3.225400354,3.479999034,3.728562047,3.71620377,3.630656969,3.528783597,3.430578391,2.890435085,3.87890343,4.553824776,4.840008069,5.288922057,5.434002279,5.32346633,5.224774034,5.123628658,1.127541206,1.407958236,1.547359393,1.610104441,1.633852886,5.156905023,5.817350344,6.233881403,6.542916722,6.708972187,6.823573178,3.095636681,3.449683055,3.698695735,3.819418926,4.153675542,4.240224607,2.455288833,2.725054931,2.910396124,2.997798724,3.251439256,3.309614745,1.030116445,1.230662315,1.286558398,1.325653295,1.373953265,1.388849412,8.345244936,8.318138874,8.249106009,11.75805148,11.74860213,11.66946374,5.578611985,5.574972084,5.143864754,5.178791734,1.498431317,1.619012467,1.61088062,1.595738146,1.504761582,1.935170405,2.147897852,2.244818634,2.314333964,2.922559719,3.835597844,4.272480482,4.479095563,4.62499445,2.221511382,2.900944052,3.215096421,3.378800219,3.474398812,,
339,2.107684221,2.774655881,3.193328685,3.446504757,3.695590144,3.685953764,3.601983579,3.5013734,3.404142696,2.859513052,3.840841481,4.512514139,4.797484423,5.246111337,5.393946435,5.282950039,5.186015566,5.088447067,1.099639644,1.343649567,1.510405156,1.573269129,1.613023301,5.105716804,5.805310592,6.167095075,6.468692217,6.633207774,6.753269771,3.036499288,3.371826936,3.631335715,3.736916921,3.785682139,3.884223027,2.407510286,2.662652644,2.856397791,2.93127549,2.962079928,3.031277063,1.015435024,1.214190142,1.269588777,1.30818682,1.355987499,1.371228543,8.272128015,8.245823389,8.178553967,11.67110893,11.66300063,11.58618655,5.43021512,5.51508893,4.929422681,5.124131605,1.45135884,1.592810293,1.536520811,1.497044013,1.47921595,1.958433581,2.111154683,2.212334968,2.345548104,2.887935865,3.921216659,4.207472154,4.420198957,4.692774808,2.185596263,2.963307373,3.162396607,3.330698287,3.523548893,,
340,2.082968333,2.744914007,3.161786862,3.413560768,3.663138182,3.656166423,3.573750406,3.474385312,3.378118324,2.826260288,3.799938011,4.46815451,4.75186417,5.200231305,5.350794278,5.243241898,5.14801469,5.052882949,1.090705443,1.375633483,1.503867831,1.562677703,1.592493761,5.046649609,5.663266665,6.12616029,6.401393757,6.58265426,6.70511281,3.045104062,3.40736872,3.64551684,3.783106481,3.869339831,3.929205775,2.413424199,2.689753778,2.86662615,2.965647654,3.026321363,3.068370773,1.001141651,1.197818494,1.252816646,1.29110211,1.338699259,1.353763676,8.196586682,8.170830828,8.10424111,11.58123562,11.5741256,11.49839199,5.537116426,5.455896594,5.193627384,5.070078812,1.470830737,1.567083066,1.607320727,1.617202728,1.465533237,2.057549717,2.098826632,2.198384675,2.457649593,2.847673147,4.188401315,4.183804887,4.399071962,4.921589453,2.168800378,3.165547956,3.146377665,3.306741285,3.693521564,,
341,2.059423015,2.716463226,3.131480154,3.381799362,3.631712775,3.627181215,3.546227956,3.448051133,3.352713598,2.793588451,3.759718974,4.424515523,4.706970874,5.155054715,5.308033659,5.204333324,5.11076516,5.016688284,1.106184066,1.357743881,1.484344441,1.608872853,1.617864391,4.99116072,5.647734251,6.064422985,6.334382176,6.532064104,6.638165673,3.008045185,3.43199923,3.675957661,3.827475391,3.914964284,3.866364096,2.419338075,2.750055877,2.942227874,3.130996753,3.065243503,3.064833262,0.986993443,1.181496541,1.236145833,1.274228393,1.321642202,1.336335549,8.124007139,8.099004931,8.032313105,11.49467891,11.48876415,11.41314773,5.474548086,5.683850388,5.138828205,5.016689715,1.446522761,1.620366691,1.581745653,1.591587297,1.488448218,2.063410523,2.135337436,2.219286611,2.539790137,2.809971293,3.96015306,4.647730971,4.956653673,4.939450359,2.137929849,2.990351943,3.230587501,3.374605275,3.705036904,,
342,2.035154088,2.687175434,3.100350888,3.349262685,3.599611433,3.597682843,3.518270168,3.421334207,3.326959821,2.762785052,3.721713397,4.383184863,4.66439379,5.112112483,5.265999712,5.16621935,5.074264714,4.979870336,1.056858808,1.340065347,1.465361321,1.52683167,1.547216398,4.92308197,5.570195525,5.984746545,6.265834353,6.44061254,6.555973499,2.970464686,3.410672731,3.643924276,3.812734164,3.884780312,3.814279202,2.387335007,2.744404464,2.958839758,3.16417673,3.047229374,3.023210881,0.972876911,1.165267018,1.219481042,1.257315966,1.304489633,1.319117708,8.055341141,8.031249673,7.964437657,11.41256402,11.40795942,11.3323454,5.412757101,5.654504908,5.084702341,4.963955303,1.422659928,1.603153332,1.55662961,1.566423171,1.468193332,1.892331989,2.108270949,2.195220982,2.337033654,2.775219666,3.696218401,4.846880193,5.210431485,4.541997133,2.110337449,2.788540728,3.211806844,3.315759393,3.403519768,,
343,2.011297243,2.658370534,3.069735874,3.317280326,3.568063787,3.56872044,3.49083676,3.395133399,3.301714574,2.732064138,3.683721307,4.341798988,4.621746818,5.069054909,5.225800134,5.144050196,5.053237743,4.942434492,1.013819229,1.246875975,1.438282812,1.451262662,1.445803351,4.885880892,5.514101037,5.927621699,6.197327918,6.379798628,6.495516273,2.934672504,3.369361399,3.589253555,3.7783437,3.830548239,3.790737509,2.337150957,2.702076912,2.940713429,3.123435175,3.006519523,2.979057418,0.958853606,1.149733565,1.202891237,1.240531477,1.287431819,1.302714453,7.980794534,7.958191021,7.892843877,11.32326437,11.32091758,11.24718851,5.351718361,5.460671184,5.031224829,4.911845405,1.399233528,1.54126159,1.531958959,1.541705757,1.425954696,1.815663784,2.036805734,2.149195531,2.188542077,2.731298675,3.59180865,4.811177365,5.231469789,4.316635608,2.073823352,2.70783292,3.115618131,3.215078698,3.231883669,,
344,1.987957372,2.630118046,3.039630483,3.28577866,3.536914505,3.540040005,3.463635358,3.369134373,3.276647802,2.701638902,3.646063703,4.300754078,4.579445114,5.026321822,5.185427057,5.122981432,5.033260724,4.904391778,1.030322665,1.289557128,1.450016607,1.455364921,1.506423682,4.817855308,5.451130155,5.859102628,6.129221016,6.300775439,6.427308977,2.902607291,3.305656929,3.511369467,3.697307261,3.75914493,3.771568002,2.284155553,2.6298388,2.883723009,3.012998001,2.946160329,2.930226286,0.946098146,1.135051541,1.187927071,1.225429457,1.271881815,1.286935932,7.906209286,7.885096246,7.821697504,11.23395028,11.23369029,11.16252544,5.291419335,5.193395991,4.978381677,4.860347193,1.376240212,1.45979464,1.507729986,1.517431248,1.378948312,1.790594255,1.962268233,2.099519358,2.092185829,2.682786102,3.52377262,4.639961201,5.088388099,4.199877074,2.031965234,2.654711615,3.002530556,3.128623226,3.142138515,,
345,1.964828778,2.602056985,3.009652802,3.254351931,3.505752371,3.511253943,3.436291185,3.342962462,3.251395047,2.671542693,3.608803556,4.260135843,4.537595086,4.984040859,5.145133987,5.102334335,5.013684297,4.86574544,1.015804808,1.341551073,1.450867153,1.465222062,1.559725198,4.76247169,5.389714605,5.799260382,6.065342728,6.241011445,6.359904542,2.866564197,3.231942749,3.416822967,3.587148559,3.671073243,3.725068372,2.231965882,2.545492468,2.791985204,2.866498706,2.866500267,2.863121478,0.933112784,1.120138498,1.172620365,1.210091384,1.256165012,1.270807223,7.834804354,7.814966343,7.752683245,11.1480116,11.14966158,11.08043246,5.231666017,4.941991232,4.925798175,4.80946072,1.353611278,1.383157386,1.483780389,1.493264698,1.346890777,1.766359462,1.924760264,2.057963198,2.054817044,2.652808651,3.480079388,4.431732425,4.840951683,4.170112615,2.006377502,2.620033506,2.934011131,3.083676693,3.117783882,,
346,1.942061149,2.574419207,2.980129931,3.223428989,3.475092222,3.482949824,3.409410594,3.317235197,3.226568774,2.640798142,3.570661419,4.218466132,4.494582646,4.940475752,5.104237369,5.082002767,4.994396504,4.82650459,1.001900804,1.280208319,1.394010284,1.446654892,1.49660313,4.707793575,5.330662802,5.736243907,6.000718018,6.17094824,6.293301825,2.830404399,3.164915508,3.342099001,3.494654336,3.619175015,3.691310043,2.189967162,2.471082143,2.697242416,2.740713289,2.813691209,2.817180259,0.920155997,1.105388016,1.157440758,1.194718116,1.240396218,1.25476721,7.767274494,7.748458425,7.689281527,11.06651501,11.06973198,11.00445146,5.155829385,4.794013486,4.845736546,4.759154345,1.325370342,1.335046418,1.447733043,1.450911158,1.335101528,1.743692513,1.918236307,2.029962406,2.068247745,2.635334311,3.46617538,4.205826466,4.539875808,4.1981562,1.99404704,2.607941983,2.90513247,3.078478662,3.136932366,,
347,1.919607117,2.547129585,2.950951238,3.192849655,3.444742914,3.454903811,3.382764507,3.291729333,3.201951907,2.611780212,3.534634703,4.179109634,4.454010271,4.899426432,5.064957603,5.046884167,4.960462896,4.786678283,0.987152416,1.246478001,1.365121418,1.427982931,1.452189921,4.64234389,5.264400122,5.673995517,5.932788157,6.081944935,6.227487179,2.796700623,3.114874468,3.307170755,3.440001242,3.47759539,3.5781828,2.162737849,2.423358441,2.62129356,2.660052683,2.697591569,2.727695548,0.906746389,1.090280748,1.141976681,1.178790869,1.223847501,1.238043104,7.701314351,7.683373902,7.627980755,10.98682595,10.99140639,10.93077772,5.106331332,4.835352137,4.809284079,4.70942196,1.306714756,1.33847987,1.4312741,1.437672044,1.339225385,1.722785763,1.930167475,2.014821185,2.109826941,2.622586796,3.473357016,3.975861493,4.22719551,4.248472683,1.988809698,2.611882576,2.903902769,3.083038899,3.172914856,,
348,1.897493271,2.520208182,2.922117934,3.162600109,3.414675245,3.427072113,3.356307262,3.266392685,3.177493082,2.583239762,3.499147248,4.14028829,4.413953348,4.858845858,5.026005158,5.011675025,4.926436767,4.746269714,0.973045708,1.246744207,1.364473739,1.409609194,1.458542229,4.573153708,5.199119599,5.614210452,5.852663511,6.068953989,6.150275368,2.757970657,3.069146052,3.287546275,3.392242462,3.190430623,3.196199751,2.143312883,2.400842467,2.553636444,2.611318609,2.486078726,2.433998066,0.893337396,1.075304554,1.126552007,1.16288671,1.20729895,1.221428795,7.630850303,7.614018552,7.558691122,10.90168038,10.90791803,10.84760888,5.065803451,5.006697393,4.823951336,4.660261199,1.291370477,1.377096731,1.431725444,1.433972007,1.34548344,1.703318943,1.941643855,2.005879438,2.142671193,2.605082493,3.479062687,3.750173936,3.936834583,4.279125719,1.981385962,2.614836317,2.911392125,3.039771884,3.194237586,,
