Distance,CP20/40,CP20/50,CP20/60,CP20/80,CP20/100,CP20/120,CP20/140,CP20/160,CP20/180,CP25/40,CP25/50,CP25/60,CP25/80,CP25/100,CP25/120,CP25/140,CP25/160,CP25/180,FH5.18/60,FH5.18/90,FH5.18/120,FH5.18/150,FH5.18/180,TP25/80,TP25/100,TP25/120,TP25/140,TP25/160,TP25/180,TP20/80,TP20/100,TP20/120,TP20/140,TP20/160,TP20/180,TP15/80,TP15/100,TP15/120,TP15/140,TP15/160,TP15/180,TP17/80,TP17/100,TP17/120,TP17/140,TP17/160,TP17/180,SP6548,SP6554,SP6560,SP6648,SP6654,SP6660,RV2.25/120,RV2.25/150,RV2.25/170,RV2.25/180,RH2.21/120,RH2.21/150,RH2.21/170,RH2.21/180,FH8.20/60,FH8.20/90,FH8.20/120,FH8.20/150,FH8.20/180,FH8.23/60,FH8.23/90,FH8.23/120,FH8.23/150,FH8.23/180,FH8.21/60,FH8.21/90,FH8.21/120,FH8.21/150,FH8.21/180
645,0.005397418,0.006853455,0.008105616,0.008825253,0.010291658,0.011695255,0.012386424,0.012854524,0.013159667,0.00685392,0.008737956,0.010382105,0.01121783,0.013133322,0.015057539,0.016024621,0.016707517,0.01721805,0.003338441,0.003822361,0.004245939,0.004546578,0.004755765,0.009457983,0.010322807,0.011127026,0.011698262,0.012200126,0.012605986,0.006681759,0.007262341,0.00788101,0.008200143,0.008499507,0.008918735,0.00549995,0.005999332,0.006447716,0.006849888,0.007045244,0.007370753,0.002832692,0.003506953,0.003760898,0.003972279,0.004289974,0.004410361,0.015693283,0.01631017,0.016745112,0.021927662,0.022870621,0.023560455,0.008329783,0.00963049,0.010321533,0.010537292,0.00259093,0.002844479,0.003021762,0.003090182,0.004130879,0.004760161,0.005310653,0.005716987,0.006193166,0.006459093,0.007518214,0.008417307,0.00910871,0.009579991,0.005318072,0.006161336,0.006895237,0.007434173,0.007833997
646,0.005377098,0.006828443,0.008077034,0.008794746,0.010257969,0.011659533,0.012350373,0.012818657,0.013124244,0.006829298,0.008707486,0.010347074,0.011180757,0.013092153,0.01501319,0.015980287,0.016663156,0.017174368,0.003326811,0.003807246,0.004230483,0.004530401,0.004739227,0.009442415,0.010289027,0.011097146,0.011660483,0.012180654,0.012566289,0.006655723,0.007230384,0.007853922,0.008170031,0.008467881,0.008889396,0.00547929,0.005970001,0.006407943,0.006816867,0.007005007,0.007341696,0.002821282,0.00349355,0.003746872,0.003957788,0.004274937,0.004395135,0.015643729,0.01626042,0.016695209,0.021862544,0.022804701,0.023494072,0.008285999,0.009594496,0.010285455,0.010501562,0.002576354,0.00283223,0.003008979,0.00307722,0.004116941,0.004743263,0.005291864,0.005697204,0.006158143,0.006437931,0.007492302,0.00838952,0.009078263,0.009548713,0.005300478,0.006139661,0.006871103,0.007408699,0.007809915
647,0.005356822,0.006803482,0.00804851,0.0087643,0.010224344,0.011623875,0.012314386,0.012782852,0.013088883,0.006804728,0.008677076,0.010312111,0.011143755,0.01305106,0.014968876,0.015936033,0.016618871,0.017130758,0.003315244,0.003792379,0.004215107,0.004514306,0.00472277,0.009428998,0.010255425,0.011067715,0.011622885,0.012163864,0.012526772,0.006631063,0.00719937,0.007826972,0.008141882,0.008438951,0.008860199,0.005459761,0.005940522,0.006368914,0.00678567,0.006965259,0.00731315,0.00280997,0.00348028,0.003732989,0.003943442,0.004260048,0.004380106,0.015594184,0.016210553,0.016645153,0.021797314,0.022738681,0.023427736,0.008241948,0.009558664,0.010249535,0.010465983,0.002561697,0.002820047,0.002996264,0.003064326,0.004103075,0.004726452,0.005273163,0.005677515,0.00612276,0.006416888,0.007466534,0.008362128,0.009047974,0.009517594,0.005282819,0.006118087,0.006847075,0.007383334,0.007785229
648,0.00533659,0.006778574,0.008020043,0.008733915,0.010190784,0.011588282,0.012278462,0.01274711,0.013053583,0.006780209,0.008646727,0.010277216,0.011106824,0.013010042,0.014924598,0.01589186,0.016574664,0.01708722,0.003303742,0.003777768,0.004199812,0.004498293,0.004706395,0.009417774,0.010222001,0.011038694,0.011585469,0.012149808,0.012487432,0.006607981,0.007169473,0.007800161,0.008115947,0.00841305,0.008831145,0.005441532,0.005910923,0.006330911,0.006756588,0.006926207,0.007285214,0.002798707,0.003467048,0.003719154,0.003929146,0.004245211,0.004365117,0.015544725,0.016160666,0.016595172,0.02173208,0.022672676,0.023361519,0.008197798,0.009522992,0.010213773,0.010430553,0.002547013,0.00280793,0.002983616,0.0030515,0.004089283,0.004709727,0.00525455,0.005657922,0.006087156,0.006395964,0.007440909,0.008335142,0.00901784,0.009486632,0.005265242,0.006096613,0.006823152,0.007358077,0.007759982
649,0.00531635,0.006753651,0.007991553,0.008703494,0.01015717,0.011552616,0.012242452,0.012711273,0.013018181,0.006755681,0.008616362,0.010242293,0.011069852,0.012968963,0.014880156,0.015847768,0.016530534,0.017043753,0.003292303,0.00376342,0.004184596,0.004482361,0.004690102,0.009408783,0.010188755,0.011010037,0.011548233,0.012138533,0.012448269,0.006586685,0.007140874,0.007773489,0.008092483,0.008390525,0.008802235,0.005424777,0.005881235,0.006294226,0.006729917,0.006888064,0.007257987,0.002787485,0.003453847,0.003705353,0.003914897,0.004230426,0.004350163,0.015495626,0.016111133,0.016545618,0.021667427,0.022607295,0.023296019,0.008153709,0.00948748,0.010178168,0.010395271,0.002532354,0.00279588,0.002971037,0.003038741,0.004075565,0.00469309,0.005236028,0.005638424,0.006051474,0.006375158,0.007415427,0.008308575,0.008987863,0.009455827,0.005247746,0.00607524,0.006799334,0.007332929,0.007734218
650,0.005295986,0.006728563,0.007962854,0.008672819,0.010123246,0.011516577,0.012206036,0.012675005,0.012982333,0.006731008,0.008585805,0.010207127,0.011032586,0.012927521,0.014835429,0.015803756,0.01648648,0.017000357,0.003280928,0.003749341,0.004169459,0.004466511,0.004673888,0.009402062,0.010155687,0.010981698,0.011511177,0.012130083,0.012409282,0.006567392,0.007113761,0.007746959,0.008071755,0.008371732,0.008773469,0.005409673,0.00585149,0.006259157,0.006705962,0.006851046,0.007231571,0.002776315,0.003440684,0.003691585,0.00390069,0.004215697,0.004335246,0.015446704,0.01606179,0.01649631,0.021602974,0.022542096,0.02323071,0.008109841,0.009452128,0.010142718,0.010360136,0.002517772,0.002783897,0.002958525,0.00302605,0.004061921,0.004676541,0.005217595,0.005619024,0.006015863,0.00635447,0.007390089,0.008282439,0.008958041,0.009425179,0.005230332,0.006053969,0.006775622,0.00730789,0.007707989
651,0.00527564,0.006703496,0.007934177,0.008642164,0.010089338,0.011480547,0.012169624,0.012638737,0.012946481,0.006706358,0.008555274,0.010171988,0.010995343,0.012886099,0.014791832,0.015759825,0.016442504,0.016957032,0.003269615,0.003735533,0.004154402,0.004450741,0.004657756,0.009397643,0.010122797,0.010953626,0.011474301,0.012124501,0.012370472,0.006550326,0.007088327,0.007720571,0.008054038,0.008357039,0.008744849,0.005396404,0.005821717,0.00622601,0.006685029,0.006815378,0.00720607,0.002765201,0.003427615,0.003677888,0.003886547,0.004201026,0.00432041,0.015397722,0.01601235,0.016446992,0.021538395,0.022476732,0.023165396,0.008066349,0.009416933,0.010107423,0.010325147,0.002503315,0.002771982,0.002946082,0.003013428,0.004048354,0.004660081,0.005199252,0.005599721,0.005980478,0.0063339,0.007364893,0.008256747,0.008928375,0.009394689,0.005212998,0.006032798,0.006752015,0.007282959,0.007681347
652,0.005257332,0.006680859,0.007908186,0.008614331,0.010058398,0.011447481,0.012136101,0.012605268,0.012913342,0.006684086,0.008527596,0.010140023,0.010961409,0.012848178,0.014750288,0.015715976,0.016398604,0.016913779,0.003258365,0.003722,0.004139424,0.004435053,0.004641703,0.009395558,0.010090084,0.010925768,0.011437603,0.012121823,0.012331837,0.00653572,0.007064771,0.007694325,0.008039613,0.008346827,0.008716375,0.005381282,0.00579195,0.006195097,0.006667435,0.006781285,0.00718159,0.002754215,0.003414654,0.003664338,0.003872585,0.004186513,0.004305699,0.015349259,0.015963428,0.016398027,0.021474491,0.022412057,0.023100578,0.008023383,0.009381895,0.010072281,0.010290304,0.002489034,0.002760134,0.002933709,0.003000875,0.004034863,0.004643709,0.005181001,0.005580517,0.005945479,0.006313448,0.007339839,0.008231511,0.008898864,0.009364355,0.005195746,0.006011729,0.006728514,0.007258138,0.007654352
653,0.005239033,0.006658233,0.007882207,0.00858651,0.01002747,0.011414425,0.012102587,0.012571807,0.01288021,0.006661826,0.008499931,0.010108073,0.010927489,0.01281027,0.014708816,0.015672207,0.016354781,0.016870598,0.003247178,0.003708741,0.004124524,0.004419446,0.004625731,0.009395835,0.010057549,0.010898065,0.011401084,0.012122085,0.012293376,0.006523815,0.007043298,0.007668223,0.008028772,0.008341486,0.00868805,0.005365684,0.00565894,0.006166741,0.006653499,0.006749,0.007158238,0.002743294,0.003401765,0.003650855,0.003858686,0.004172053,0.004291058,0.015300943,0.015914633,0.016349277,0.021410717,0.02234751,0.023035781,0.007981091,0.009347014,0.010037291,0.010255604,0.002474975,0.002748355,0.002921404,0.002988391,0.00402145,0.004627428,0.005162843,0.005561412,0.005911031,0.006293113,0.007314927,0.008206743,0.008869091,0.00933359,0.005178575,0.005990761,0.00670512,0.007233426,0.007627066
654,0.005220744,0.006635618,0.007856239,0.008558701,0.009996553,0.011381378,0.012069082,0.012538354,0.012847085,0.006639577,0.008472279,0.010076136,0.010893583,0.012772375,0.014667418,0.015628518,0.016311036,0.016827488,0.003236053,0.003695755,0.004109703,0.004403918,0.004609838,0.009398501,0.010025192,0.010870459,0.011364742,0.012125317,0.012255089,0.006514858,0.007024121,0.007642265,0.008021814,0.00834142,0.008659873,0.005350017,0.005658754,0.00614127,0.006643548,0.006718759,0.007136125,0.002732386,0.003388914,0.003637404,0.003844801,0.004157609,0.00427646,0.015252689,0.015865886,0.016300588,0.021347012,0.022283034,0.022970962,0.007939615,0.009312288,0.010002453,0.010221047,0.002461185,0.002736643,0.002909169,0.002975976,0.004008116,0.004611237,0.005144777,0.005542406,0.005877306,0.006272512,0.007290158,0.008179742,0.008839219,0.009302881,0.005161486,0.005969896,0.006681832,0.007208824,0.007599557
